text,intent,sentiment,country,product_group,plan,customer_type,priority,amount_billed,satisfaction_score
I want a refund for ZENDCloud VM Enterprise subscription.,Refund,Angry,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,92.52,1
What features does ZENDCloud VM Enterprise offer?,Information Query,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,190.93,3
Can you send me my last 2 invoices for ZENDFiber Home 100 Mbps?,Billing,Happy,Thailand,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Enterprise,122.37,5
I was charged $X instead of $Y for ZENDBiz Connect 500.,Billing,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Enterprise,Enterprise,211.7,1
Need help fixing my ZENDIndustrial Sensor service.,Technical Support,Angry,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Priority,62.12,1
Need help fixing my ZENDStorage 10TB service.,Technical Support,Neutral,USA,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Standard,35.26,3
Can you send me my last 2 invoices for Postpaid Gold 100GB?,Billing,Neutral,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Individual,Standard,71.82,3
Complaint regarding ZENDOffice Net 500.,Complaint,Satisfied,India,Home & Office Internet,ZENDOffice Net 500,Individual,Priority,55.06,4
I was charged $X instead of $Y for ZENDOffice Net 500.,Billing,Neutral,Singapore,Home & Office Internet,ZENDOffice Net 500,Individual,Standard,199.47,3
How do I claim a refund if I used less than 10% of ZENDCloud VM Enterprise?,Refund,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Priority,14.27,1
How much does ZENDIndustrial Sensor cost in my country?,Information Query,Happy,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,68.13,5
What are the costs to move from Prepaid Basic 5GB to premium?,Plan Upgrade,Happy,Thailand,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Enterprise,139.95,5
I am not happy with my ZENDOffice Net 1G service.,Complaint,Happy,India,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Enterprise,157.2,5
My billing amount for Postpaid Gold 100GB seems incorrect.,Billing,Angry,Singapore,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Priority,107.53,1
Complaint regarding ZENDOffice Net 500.,Complaint,Satisfied,USA,Home & Office Internet,ZENDOffice Net 500,Individual,Priority,52.66,4
How much does ZENDOffice Net 200 cost in my country?,Information Query,Neutral,Singapore,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,165.08,3
I want to upgrade my ZENDFleet IoT plan.,Plan Upgrade,Neutral,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Standard,88.39,3
What are the costs to move from ZENDCloud VM Pro to premium?,Plan Upgrade,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Enterprise,265.25,5
What features does ZENDArchive Storage offer?,Information Query,Happy,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Enterprise,288.23,5
What are the costs to move from ZENDCloud VM Enterprise to premium?,Plan Upgrade,Angry,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,76.41,1
I am not happy with my Prepaid Unlimited service.,Complaint,Happy,Singapore,Mobile Connectivity,Prepaid Unlimited,Enterprise,Standard,61.37,5
How much does ZENDBiz Connect 1G cost in my country?,Information Query,Angry,India,Business Connectivity,ZENDBiz Connect 1G,Individual,Enterprise,338.91,1
I was charged $X instead of $Y for ZENDSmart Traffic.,Billing,Neutral,India,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Enterprise,272.93,3
How much does ZENDStorage 1TB cost in my country?,Information Query,Satisfied,India,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Standard,236.56,4
Can I upgrade from ZENDArchive Storage to a higher plan?,Plan Upgrade,Angry,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Individual,Enterprise,176.23,1
How do I claim a refund if I used less than 10% of ZENDArchive Storage?,Refund,Happy,USA,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,280.67,5
Requesting refund for Prepaid Unlimited.,Refund,Satisfied,India,Mobile Connectivity,Prepaid Unlimited,Individual,Priority,76.91,4
What features does ZENDOffice Net 200 offer?,Information Query,Angry,Singapore,Home & Office Internet,ZENDOffice Net 200,Enterprise,Enterprise,50.12,1
How do I claim a refund if I used less than 10% of Postpaid Silver 50GB?,Refund,Angry,India,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Standard,71.29,1
How much does ZENDEnterprise Dedicated cost in my country?,Information Query,Neutral,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Individual,Standard,201.27,3
Complaint regarding Prepaid Unlimited.,Complaint,Happy,India,Mobile Connectivity,Prepaid Unlimited,Individual,Priority,91.27,5
I am facing issues with Postpaid Silver 50GB.,Technical Support,Neutral,India,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Priority,31.61,3
My ZENDBiz Connect 500 is not working properly.,Technical Support,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,394.86,3
Requesting refund for ZENDCloud VM Enterprise.,Refund,Angry,USA,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Priority,278.81,1
Complaint regarding ZENDFleet IoT.,Complaint,Satisfied,USA,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,277.42,4
What are the costs to move from Postpaid Gold 100GB to premium?,Plan Upgrade,Happy,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Standard,124.72,5
I want to cancel my ZENDStorage 10TB subscription.,Cancellation,Angry,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Priority,247.27,1
Complaint regarding ZENDBiz Connect 1G.,Complaint,Happy,Thailand,Business Connectivity,ZENDBiz Connect 1G,Individual,Standard,297.81,5
My billing amount for ZENDFiber Home 100 Mbps seems incorrect.,Billing,Happy,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Priority,158.9,5
Requesting refund for Prepaid Unlimited.,Refund,Happy,USA,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,27.17,5
How much does ZENDOffice Net 500 cost in my country?,Information Query,Happy,Thailand,Home & Office Internet,ZENDOffice Net 500,Enterprise,Standard,86.41,5
How do I stop ZENDCloud VM Basic service?,Cancellation,Satisfied,Thailand,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Enterprise,12.01,4
What features does ZENDBiz Connect 1G offer?,Information Query,Angry,India,Business Connectivity,ZENDBiz Connect 1G,Individual,Standard,427.39,1
Complaint regarding ZENDBiz Connect 500.,Complaint,Angry,India,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,432.24,1
Requesting refund for Postpaid Platinum Unlimited.,Refund,Neutral,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Standard,90.1,3
I want a refund for ZENDFiber Home 300 Mbps subscription.,Refund,Angry,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Priority,99.57,1
My billing amount for ZENDBiz Connect 500 seems incorrect.,Billing,Angry,India,Business Connectivity,ZENDBiz Connect 500,Enterprise,Enterprise,423.83,1
Can I upgrade from ZENDEnterprise Ultra to a higher plan?,Plan Upgrade,Happy,Thailand,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,324.0,5
How do I stop ZENDArchive Storage service?,Cancellation,Happy,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Individual,Enterprise,158.47,5
What features does ZENDBiz Connect 100 offer?,Information Query,Angry,Singapore,Business Connectivity,ZENDBiz Connect 100,Individual,Enterprise,408.39,1
Please terminate my ZENDCloud VM Enterprise plan.,Cancellation,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Enterprise,200.84,1
Need help fixing my ZENDFleet IoT service.,Technical Support,Satisfied,USA,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Priority,272.85,4
My billing amount for ZENDArchive Storage seems incorrect.,Billing,Happy,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Enterprise,125.39,5
What features does ZENDIndustrial Sensor offer?,Information Query,Happy,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,349.53,5
How do I claim a refund if I used less than 10% of ZENDCloud VM Enterprise?,Refund,Happy,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Enterprise,26.49,5
What features does ZENDStorage 10TB offer?,Information Query,Neutral,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Standard,239.46,3
Can I upgrade from ZENDIndustrial Sensor to a higher plan?,Plan Upgrade,Neutral,USA,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,102.19,3
Need details about ZENDSmart Lighting.,Information Query,Happy,USA,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Standard,239.05,5
Need help fixing my ZENDFiber Home 1 Gbps service.,Technical Support,Neutral,Thailand,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Priority,94.43,3
I am facing issues with ZENDCloud VM Basic.,Technical Support,Neutral,India,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,147.46,3
Can I upgrade from Prepaid Unlimited to a higher plan?,Plan Upgrade,Happy,USA,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,88.13,5
I want to cancel my ZENDOffice Net 200 subscription.,Cancellation,Neutral,Thailand,Home & Office Internet,ZENDOffice Net 200,Individual,Priority,183.87,3
Can I upgrade from Postpaid Silver 50GB to a higher plan?,Plan Upgrade,Satisfied,Singapore,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Enterprise,80.12,4
Complaint regarding Postpaid Platinum Unlimited.,Complaint,Angry,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Enterprise,96.62,1
I want to cancel my Postpaid Gold 100GB subscription.,Cancellation,Satisfied,India,Mobile Connectivity,Postpaid Gold 100GB,Individual,Priority,25.26,4
What features does Prepaid Plus 20GB offer?,Information Query,Neutral,India,Mobile Connectivity,Prepaid Plus 20GB,Individual,Standard,28.19,3
Need help fixing my ZENDEnterprise Ultra service.,Technical Support,Angry,India,Business Connectivity,ZENDEnterprise Ultra,Individual,Standard,442.06,1
I want to cancel my Postpaid Platinum Unlimited subscription.,Cancellation,Angry,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Standard,142.29,1
Need help fixing my ZENDIndustrial Sensor service.,Technical Support,Satisfied,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,328.66,4
I want a refund for ZENDFiber Home 100 Mbps subscription.,Refund,Satisfied,USA,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Priority,26.09,4
How much does ZENDFiber Home 1 Gbps cost in my country?,Information Query,Satisfied,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Enterprise,94.67,4
Please terminate my ZENDSmart Traffic plan.,Cancellation,Satisfied,India,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,314.44,4
Need details about ZENDOffice Net 200.,Information Query,Neutral,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Enterprise,105.57,3
Complaint regarding ZENDBiz Connect 100.,Complaint,Happy,Singapore,Business Connectivity,ZENDBiz Connect 100,Individual,Standard,370.34,5
Frustrated with ZENDStorage 1TB connection.,Complaint,Happy,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Standard,280.49,5
I want a refund for Postpaid Gold 100GB subscription.,Refund,Happy,USA,Mobile Connectivity,Postpaid Gold 100GB,Individual,Standard,122.54,5
Requesting refund for Postpaid Platinum Unlimited.,Refund,Neutral,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Priority,62.46,3
How much does ZENDCloud VM Enterprise cost in my country?,Information Query,Angry,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,299.14,1
How do I claim a refund if I used less than 10% of ZENDSmart Parking?,Refund,Happy,India,IoT & Smart Solutions,ZENDSmart Parking,Individual,Priority,389.33,5
Frustrated with ZENDSmart Traffic connection.,Complaint,Angry,USA,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,238.71,1
Complaint regarding ZENDBiz Connect 500.,Complaint,Satisfied,USA,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,107.05,4
I am facing issues with ZENDEnterprise Ultra.,Technical Support,Angry,India,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Enterprise,159.16,1
I want a refund for ZENDIndustrial Sensor subscription.,Refund,Neutral,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,237.27,3
Need details about Postpaid Silver 50GB.,Information Query,Neutral,India,Mobile Connectivity,Postpaid Silver 50GB,Individual,Enterprise,35.2,3
How do I claim a refund if I used less than 10% of ZENDCloud VM Basic?,Refund,Happy,USA,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Enterprise,270.43,5
What are the costs to move from Postpaid Platinum Unlimited to premium?,Plan Upgrade,Neutral,India,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Standard,123.92,3
Complaint regarding ZENDIndustrial Sensor.,Complaint,Angry,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Priority,271.16,1
How do I stop ZENDOffice Net 200 service?,Cancellation,Angry,USA,Home & Office Internet,ZENDOffice Net 200,Individual,Priority,77.74,1
Can you send me my last 2 invoices for ZENDCloud VM Basic?,Billing,Satisfied,India,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,249.78,4
Complaint regarding Postpaid Platinum Unlimited.,Complaint,Satisfied,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Enterprise,31.61,4
Requesting refund for ZENDFleet IoT.,Refund,Neutral,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Standard,245.16,3
I want a refund for Prepaid Plus 20GB subscription.,Refund,Happy,Singapore,Mobile Connectivity,Prepaid Plus 20GB,Individual,Priority,38.83,5
Requesting refund for ZENDCloud VM Enterprise.,Refund,Happy,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,152.08,5
I am not happy with my ZENDBiz Connect 1G service.,Complaint,Neutral,Thailand,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,159.4,3
I want a refund for ZENDSmart Parking subscription.,Refund,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Enterprise,326.23,3
Need help fixing my Postpaid Gold 100GB service.,Technical Support,Angry,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Individual,Standard,35.08,1
I am facing issues with Prepaid Unlimited.,Technical Support,Satisfied,India,Mobile Connectivity,Prepaid Unlimited,Enterprise,Standard,24.91,4
How do I claim a refund if I used less than 10% of ZENDSmart Lighting?,Refund,Satisfied,India,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Standard,276.32,4
Complaint regarding ZENDEnterprise Dedicated.,Complaint,Neutral,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Individual,Priority,427.43,3
Need help fixing my ZENDEnterprise Dedicated service.,Technical Support,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Individual,Priority,72.53,4
I am facing issues with ZENDFleet IoT.,Technical Support,Neutral,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Priority,326.39,3
I am not happy with my ZENDFiber Home 1 Gbps service.,Complaint,Angry,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Enterprise,177.39,1
Please terminate my ZENDEnterprise Dedicated plan.,Cancellation,Neutral,USA,Business Connectivity,ZENDEnterprise Dedicated,Individual,Standard,365.24,3
I want to upgrade my ZENDCloud VM Pro plan.,Plan Upgrade,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Enterprise,273.98,1
Please terminate my Prepaid Basic 5GB plan.,Cancellation,Neutral,Singapore,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Standard,48.76,3
How do I claim a refund if I used less than 10% of ZENDBiz Connect 1G?,Refund,Satisfied,Singapore,Business Connectivity,ZENDBiz Connect 1G,Individual,Standard,470.79,4
Frustrated with ZENDSmart Lighting connection.,Complaint,Satisfied,Singapore,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Standard,370.28,4
Please terminate my ZENDFiber Home 300 Mbps plan.,Cancellation,Neutral,USA,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Enterprise,190.78,3
I was charged $X instead of $Y for ZENDSmart Lighting.,Billing,Satisfied,USA,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Enterprise,268.02,4
I want a refund for Postpaid Gold 100GB subscription.,Refund,Satisfied,India,Mobile Connectivity,Postpaid Gold 100GB,Individual,Enterprise,91.3,4
I want to cancel my ZENDCloud VM Pro subscription.,Cancellation,Satisfied,India,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Enterprise,74.41,4
How much does ZENDBiz Connect 500 cost in my country?,Information Query,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,105.39,3
How much does ZENDStorage 1TB cost in my country?,Information Query,Happy,Singapore,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Priority,237.89,5
I am not happy with my ZENDBiz Connect 100 service.,Complaint,Happy,India,Business Connectivity,ZENDBiz Connect 100,Enterprise,Standard,330.07,5
Please terminate my Postpaid Platinum Unlimited plan.,Cancellation,Satisfied,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Standard,138.49,4
Complaint regarding ZENDBiz Connect 100.,Complaint,Angry,India,Business Connectivity,ZENDBiz Connect 100,Individual,Priority,206.72,1
I want to cancel my ZENDArchive Storage subscription.,Cancellation,Neutral,USA,Cloud & Data Center Services,ZENDArchive Storage,Individual,Enterprise,127.71,3
My billing amount for ZENDEnterprise Ultra seems incorrect.,Billing,Angry,Singapore,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,407.11,1
My billing amount for Prepaid Plus 20GB seems incorrect.,Billing,Angry,India,Mobile Connectivity,Prepaid Plus 20GB,Individual,Priority,47.35,1
Need help fixing my ZENDBiz Connect 500 service.,Technical Support,Satisfied,India,Business Connectivity,ZENDBiz Connect 500,Enterprise,Enterprise,98.95,4
How do I stop ZENDOffice Net 1G service?,Cancellation,Satisfied,India,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Standard,102.04,4
What features does ZENDBiz Connect 500 offer?,Information Query,Satisfied,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,402.13,4
I want to cancel my ZENDCloud VM Pro subscription.,Cancellation,Happy,USA,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Enterprise,31.33,5
I want a refund for ZENDEnterprise Ultra subscription.,Refund,Neutral,USA,Business Connectivity,ZENDEnterprise Ultra,Individual,Enterprise,107.6,3
What are the costs to move from ZENDOffice Net 500 to premium?,Plan Upgrade,Angry,USA,Home & Office Internet,ZENDOffice Net 500,Enterprise,Priority,196.36,1
I am not happy with my ZENDBiz Connect 1G service.,Complaint,Neutral,USA,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,289.96,3
Complaint regarding ZENDCloud VM Basic.,Complaint,Happy,USA,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Standard,86.54,5
Can I upgrade from ZENDFiber Home 300 Mbps to a higher plan?,Plan Upgrade,Neutral,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Enterprise,184.42,3
Can I upgrade from ZENDSmart Traffic to a higher plan?,Plan Upgrade,Neutral,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Standard,390.14,3
Please terminate my ZENDSmart Traffic plan.,Cancellation,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Enterprise,254.83,1
My billing amount for ZENDBiz Connect 1G seems incorrect.,Billing,Satisfied,Thailand,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,107.28,4
My ZENDSmart Traffic is not working properly.,Technical Support,Satisfied,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,262.63,4
Need help fixing my ZENDFleet IoT service.,Technical Support,Satisfied,USA,IoT & Smart Solutions,ZENDFleet IoT,Individual,Priority,130.84,4
My ZENDBiz Connect 100 is not working properly.,Technical Support,Neutral,Thailand,Business Connectivity,ZENDBiz Connect 100,Enterprise,Enterprise,330.62,3
I want to upgrade my ZENDIndustrial Sensor plan.,Plan Upgrade,Neutral,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,77.43,3
Please terminate my Prepaid Unlimited plan.,Cancellation,Neutral,Thailand,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,60.75,3
How much does ZENDSmart Lighting cost in my country?,Information Query,Happy,India,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,189.12,5
Complaint regarding ZENDCloud VM Pro.,Complaint,Angry,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Priority,261.24,1
What are the costs to move from ZENDFleet IoT to premium?,Plan Upgrade,Happy,Thailand,IoT & Smart Solutions,ZENDFleet IoT,Individual,Priority,170.03,5
How do I stop ZENDSmart Traffic service?,Cancellation,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,375.42,3
What features does ZENDSmart Parking offer?,Information Query,Neutral,India,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Standard,69.81,3
What features does ZENDSmart Lighting offer?,Information Query,Angry,India,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,76.48,1
I want to upgrade my ZENDSmart Parking plan.,Plan Upgrade,Angry,India,IoT & Smart Solutions,ZENDSmart Parking,Individual,Priority,357.07,1
I was charged $X instead of $Y for Postpaid Gold 100GB.,Billing,Neutral,India,Mobile Connectivity,Postpaid Gold 100GB,Individual,Standard,81.6,3
I want to upgrade my ZENDSmart Traffic plan.,Plan Upgrade,Angry,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,127.67,1
How do I stop ZENDIndustrial Sensor service?,Cancellation,Satisfied,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Priority,379.7,4
I want a refund for ZENDSmart Parking subscription.,Refund,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Priority,79.43,3
I am facing issues with Prepaid Plus 20GB.,Technical Support,Happy,USA,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Priority,67.14,5
Can I upgrade from ZENDEnterprise Ultra to a higher plan?,Plan Upgrade,Satisfied,India,Business Connectivity,ZENDEnterprise Ultra,Individual,Priority,432.21,4
I want to upgrade my ZENDSmart Parking plan.,Plan Upgrade,Happy,USA,IoT & Smart Solutions,ZENDSmart Parking,Individual,Standard,182.88,5
I want to cancel my ZENDSmart Traffic subscription.,Cancellation,Angry,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Standard,57.64,1
How much does ZENDBiz Connect 500 cost in my country?,Information Query,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Priority,89.18,3
I want a refund for Prepaid Plus 20GB subscription.,Refund,Happy,India,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Priority,135.5,5
Complaint regarding ZENDStorage 10TB.,Complaint,Satisfied,India,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Priority,42.91,4
How much does ZENDBiz Connect 1G cost in my country?,Information Query,Neutral,India,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,165.5,3
My billing amount for Prepaid Plus 20GB seems incorrect.,Billing,Angry,Singapore,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Standard,80.76,1
Can I upgrade from Postpaid Platinum Unlimited to a higher plan?,Plan Upgrade,Happy,India,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Enterprise,117.06,5
I am facing issues with ZENDFiber Home 1 Gbps.,Technical Support,Happy,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,87.0,5
I am facing issues with ZENDStorage 1TB.,Technical Support,Angry,India,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Priority,43.12,1
What features does ZENDOffice Net 500 offer?,Information Query,Happy,USA,Home & Office Internet,ZENDOffice Net 500,Enterprise,Enterprise,193.61,5
How do I stop Postpaid Platinum Unlimited service?,Cancellation,Neutral,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Priority,95.13,3
I am facing issues with ZENDSmart Traffic.,Technical Support,Angry,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Standard,98.97,1
Need help fixing my ZENDBiz Connect 500 service.,Technical Support,Satisfied,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Enterprise,130.81,4
Requesting refund for ZENDSmart Parking.,Refund,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Standard,68.49,3
Can you send me my last 2 invoices for ZENDBiz Connect 1G?,Billing,Satisfied,India,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,456.83,4
How much does ZENDFiber Home 300 Mbps cost in my country?,Information Query,Neutral,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Standard,118.92,3
I was charged $X instead of $Y for ZENDFiber Home 300 Mbps.,Billing,Neutral,USA,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Priority,35.63,3
Need details about Postpaid Silver 50GB.,Information Query,Satisfied,Singapore,Mobile Connectivity,Postpaid Silver 50GB,Individual,Standard,73.52,4
Can I upgrade from ZENDBiz Connect 1G to a higher plan?,Plan Upgrade,Happy,Thailand,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Standard,284.55,5
Frustrated with ZENDFiber Home 1 Gbps connection.,Complaint,Happy,Thailand,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,28.8,5
Need details about ZENDSmart Parking.,Information Query,Satisfied,USA,IoT & Smart Solutions,ZENDSmart Parking,Individual,Priority,258.1,4
Frustrated with Prepaid Basic 5GB connection.,Complaint,Happy,Singapore,Mobile Connectivity,Prepaid Basic 5GB,Individual,Enterprise,96.88,5
I want to upgrade my ZENDBiz Connect 500 plan.,Plan Upgrade,Satisfied,USA,Business Connectivity,ZENDBiz Connect 500,Individual,Standard,183.14,4
Need details about Prepaid Plus 20GB.,Information Query,Satisfied,Thailand,Mobile Connectivity,Prepaid Plus 20GB,Individual,Priority,66.04,4
I was charged $X instead of $Y for ZENDSmart Traffic.,Billing,Happy,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Standard,139.32,5
Can I upgrade from Prepaid Unlimited to a higher plan?,Plan Upgrade,Neutral,Singapore,Mobile Connectivity,Prepaid Unlimited,Enterprise,Standard,106.57,3
My billing amount for ZENDCloud VM Pro seems incorrect.,Billing,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Priority,134.88,5
Requesting refund for ZENDCloud VM Pro.,Refund,Satisfied,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Standard,134.81,4
I want to cancel my ZENDEnterprise Dedicated subscription.,Cancellation,Neutral,India,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,275.74,3
My billing amount for ZENDSmart Traffic seems incorrect.,Billing,Satisfied,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Standard,389.13,4
Complaint regarding ZENDCloud VM Basic.,Complaint,Angry,USA,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Enterprise,175.0,1
How do I claim a refund if I used less than 10% of ZENDEnterprise Ultra?,Refund,Angry,USA,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,55.91,1
